job_blue-collar,campaign,marital_married,loan_no,housing_no,contact_cellular,housing_yes,previous,contact_unknown,age,poutcome_unknown,poutcome_success,pdays,balance,duration,y
0.0,0.48504878837620186,0.0,1.0,1.0,0.0,0.0,-0.22066539251992898,1.0,0.6031427401219404,1.0,0.0,-0.2914557226599873,-0.4196367203328325,-0.45163602960265525,0
1.0,-0.22831070625752387,1.0,1.0,0.0,0.0,1.0,-0.22066539251992898,1.0,-0.28697346430831433,1.0,0.0,-0.2914557226599873,-0.7170507662750467,-0.24801768646410058,0
0.0,-0.5849904535743867,0.0,1.0,0.0,1.0,1.0,1.2618028138618578,0.0,-0.48477706529281533,0.0,0.0,4.383162385845476,-0.38383359918841814,1.1264061297211432,0
1.0,0.12836904105933897,1.0,1.0,0.0,0.0,1.0,-0.22066539251992898,1.0,-0.08916986332381327,1.0,0.0,-0.2914557226599873,0.030560941582080548,-0.5170847827543336,0
0.0,-0.22831070625752387,1.0,1.0,1.0,0.0,0.0,-0.22066539251992898,0.0,1.888866146521197,1.0,0.0,-0.2914557226599873,-0.4196367203328325,-0.4407279040773755,0
0.0,0.48504878837620186,0.0,1.0,0.0,0.0,1.0,-0.22066539251992898,1.0,-1.37489326972307,1.0,0.0,-0.2914557226599873,-0.1169053791711508,2.4790136948558272,1
0.0,-0.22831070625752387,1.0,1.0,1.0,1.0,0.0,-0.22066539251992898,0.0,1.888866146521197,1.0,0.0,-0.2914557226599873,-0.41786428859301,-0.5534452011719325,0
0.0,-0.5849904535743867,1.0,0.0,0.0,1.0,1.0,2.744271020243645,0.0,-1.0781878682463184,0.0,0.0,2.2070470594722433,-0.7078341212279697,-0.3280106069828185,0
1.0,-0.5849904535743867,1.0,1.0,1.0,1.0,0.0,-0.22066539251992898,0.0,1.097651742583193,1.0,0.0,-0.2914557226599873,-0.0020518024306533083,-0.13166434752778364,0
1.0,-0.22831070625752387,1.0,0.0,0.0,0.0,1.0,-0.22066539251992898,1.0,1.1965535430754435,1.0,0.0,-0.2914557226599873,-0.6897553174817803,-0.1898410169959421,0
1.0,0.8417285356930647,1.0,0.0,0.0,0.0,1.0,-0.22066539251992898,1.0,0.702044540614191,1.0,0.0,-0.2914557226599873,-0.41786428859301,-0.2807420630399397,0
0.0,-0.22831070625752387,0.0,1.0,1.0,1.0,0.0,-0.22066539251992898,0.0,-1.37489326972307,1.0,0.0,-0.2914557226599873,-0.4168008295491165,-0.764335627994007,0
0.0,-0.5849904535743867,0.0,1.0,1.0,0.0,0.0,-0.22066539251992898,1.0,-0.08916986332381327,1.0,0.0,-0.2914557226599873,0.6626101000027813,0.7009892342352344,0
0.0,0.12836904105933897,1.0,1.0,1.0,0.0,0.0,-0.22066539251992898,1.0,0.8009463411064415,1.0,0.0,-0.2914557226599873,-0.4196367203328325,-0.5243568664378533,0
0.0,0.12836904105933897,0.0,1.0,1.0,1.0,0.0,-0.22066539251992898,0.0,-1.0781878682463184,1.0,0.0,-0.2914557226599873,-0.16972384501786109,-0.611621870640091,0
0.0,-0.5849904535743867,1.0,0.0,0.0,1.0,1.0,-0.22066539251992898,0.0,0.9987499420909425,1.0,0.0,-0.2914557226599873,0.3442813595306617,-0.7207031258928881,0
0.0,-0.22831070625752387,0.0,1.0,0.0,0.0,1.0,-0.22066539251992898,1.0,-0.08916986332381327,1.0,0.0,-0.2914557226599873,-0.4827352902705132,-0.38255123460921703,0
0.0,0.48504878837620186,1.0,1.0,1.0,1.0,0.0,-0.22066539251992898,0.0,1.097651742583193,1.0,0.0,-0.2914557226599873,0.33187433735190425,2.231762849616154,0
0.0,-0.22831070625752387,1.0,1.0,1.0,1.0,0.0,-0.22066539251992898,0.0,1.888866146521197,1.0,0.0,-0.2914557226599873,-0.21616155660121036,-0.6079858287983311,0
0.0,0.8417285356930647,0.0,1.0,1.0,1.0,0.0,-0.22066539251992898,0.0,-0.48477706529281533,1.0,0.0,-0.2914557226599873,0.04970320437216347,-0.6225299961653707,0
0.0,2.9818070195942417,0.0,1.0,0.0,0.0,1.0,-0.22066539251992898,1.0,-0.28697346430831433,1.0,0.0,-0.2914557226599873,-0.19772826650705644,-0.9061412598226433,0
0.0,-0.22831070625752387,1.0,1.0,1.0,1.0,0.0,-0.22066539251992898,0.0,-0.5836788657850659,1.0,0.0,-0.2914557226599873,-0.10520732968832236,-0.5934416614312915,0
0.0,1.5550880303267902,0.0,1.0,0.0,1.0,1.0,-0.22066539251992898,0.0,0.2075355381529383,1.0,0.0,-0.2914557226599873,-0.052743350189576585,-0.9097773016644032,0
0.0,-0.22831070625752387,1.0,1.0,1.0,1.0,0.0,-0.22066539251992898,0.0,0.5042409396296899,1.0,0.0,-0.2914557226599873,-0.4196367203328325,-0.6552543727412099,0
0.0,-0.22831070625752387,0.0,1.0,1.0,1.0,0.0,2.744271020243645,0.0,-1.177089668738569,0.0,0.0,2.3010767340686176,-0.4139649387654005,-0.5498091593301726,0
0.0,0.12836904105933897,1.0,1.0,0.0,1.0,1.0,-0.22066539251992898,0.0,-0.8803842672618175,1.0,0.0,-0.2914557226599873,-0.7929108447394493,0.36647338479332325,0
0.0,0.12836904105933897,0.0,1.0,1.0,1.0,0.0,-0.22066539251992898,0.0,-0.979286067754068,1.0,0.0,-0.2914557226599873,-0.004178720518440299,-0.6370741635324103,0
